feature_index,importance
116,0.00016067385071924316
117,1.2783825882107961e-05
118,0.0
119,0.0
120,5.826585774763768e-05
121,0.0001232605715317378
122,0.00019356007346885075
123,0.00012719073026178687
124,0.0
125,0.0
126,3.200054452658573e-05
127,0.0
128,0.0
129,0.006451191293027707
130,0.0
131,0.0
132,2.6868308465836506e-05
133,4.232905910199033e-07
134,0.005411284428978012
135,0.0001985027200345623
136,0.002280799054377065
137,4.523924468567073e-07
138,6.448564819756384e-05
139,2.2037060839891823e-06
140,0.0
141,1.6113069438838095e-05
142,2.9493796574569267e-06
143,2.462165299588007e-07
144,0.0
145,3.182862085280626e-06
146,0.0
147,0.0012758147702202109
148,0.0002793563193428887
149,4.114619968807936e-06
150,1.339717881285731e-10
151,1.4640536366116496e-08
152,0.0
153,3.166907089767354e-05
154,2.0774445402402185e-06
155,4.712307382690283e-06
156,6.13389491933218e-08
157,0.0
158,0.0
159,2.02424671957698e-09
160,1.413800860055183e-05
161,2.301101007831321e-06
162,0.00010102069207183989
163,7.382583634737569e-07
164,0.00015677068790980202
165,3.952932520811184e-09
166,1.18641785620835e-07
167,0.0
168,0.00028984476577425947
169,1.3861495080624635e-09
170,6.093916461619081e-06
171,0.0
172,0.0
173,0.00015316044874930974
174,4.6295862550815145e-05
175,1.7182277165874158e-07
176,0.0018289133510324808
177,0.000928734837822899
178,0.0
179,0.0
180,0.0
181,5.8568765897425165e-05
182,0.0001156199831077962
183,0.0
184,0.0013129893591493885
185,0.0023784507347536267
186,0.0
187,2.4132913920183325e-05
188,3.903238782945451e-06
189,0.0014352033753329135
190,0.0
191,0.0
192,9.940374725512365e-05
193,0.002411708367152177
194,4.2632719236007896e-07
195,3.040675153404126e-06
196,0.0
197,7.076560057316359e-07
198,5.529312031123689e-05
199,7.722434307644992e-07
200,0.0
201,4.141156475701708e-06
202,1.9552898112262492e-05
203,0.0016319013369192217
204,0.0
205,0.00011928813870087303
206,0.0
207,0.0011882796965562478
208,0.0015418763473408381
209,0.0002380222408308623
210,7.089597972860224e-06
211,1.2087420029891227e-05
212,9.342071378068811e-07
213,6.972052843420793e-06
214,7.527392118343668e-05
215,0.0
216,3.761550450592201e-05
217,0.0
218,0.0
219,8.618318161781771e-05
220,0.0016708390918143262
221,3.894541339002478e-06
222,1.6221013373332395e-06
223,8.20001440779927e-05
224,7.845820627433459e-07
225,1.205635358255023e-05
226,0.0
227,7.618028086357638e-05
228,0.0
229,0.0
230,0.0022083299098874893
231,0.0
232,3.018462759351566e-06
233,2.690451175061576e-06
234,5.273633193890816e-05
235,5.184986883089951e-06
236,0.0
237,1.4367439304032811e-06
238,0.0
239,0.0
240,0.00023437647290902865
241,0.000432435289575439
242,2.3284957786993324e-06
243,0.00011296976493818142
244,1.5829376677580505e-05
245,1.84236330400531e-05
246,0.0
247,2.3251073274503505e-06
248,5.863557254106683e-05
249,0.0
250,0.014514893038747163
251,0.00026546906528915993
252,3.2877108423866375e-06
253,1.382986746136862e-06
254,0.0
255,0.0
256,0.0003387229761270467
257,3.737599095154607e-05
258,0.0013999577975644614
259,0.00012417734081568131
260,0.002832723845928992
261,0.0003903014613043453
262,2.0033610029160537e-05
263,0.006243236555933729
264,0.015373969258605494
265,0.00017272287948780755
266,0.04592775122157615
267,0.0003542623683700896
268,0.00016274541103239616
269,0.0006839635397584849
270,0.0009872518037397993
271,2.613067916005852e-05
272,1.1233870214186312e-06
273,0.00010947568885871653
274,1.3455138915596956e-05
275,3.056844638125788e-06
276,0.0006138292328746355
277,0.00014688237409549287
278,0.00012676169797889942
279,0.0
280,0.00025962685146591085
281,0.0012098136571820632
282,0.0006237435108846367
283,0.0007916594202128343
284,0.00015201636924812062
285,0.0002880545636598923
286,0.01979450273130291
287,0.004982842050574299
288,0.0032297306649750088
289,0.005822260506277063
290,0.0053273853277037
291,0.08179364688158251
292,0.0009646939584810191
293,0.001283992409493915
294,0.0002056765666086177
295,0.0038524613401414404
296,0.008029685622574162
297,0.00166424595201578
298,0.0007087717421262624
299,0.00034581584515100747
300,0.006420415926416512
301,0.00044296759576474825
302,0.00011756974046282843
303,1.6000591045266185e-05
304,3.998727820969205e-05
305,0.0002339556305260619
306,0.007691789238621944
307,0.005582748772483107
308,0.0001841899795815135
309,0.0
310,0.1575198562651781
311,0.020183464782944725
312,0.004433155316802091
313,0.00020106804236812007
314,0.016433572294997367
315,0.01848074496316817
316,0.0546859529520313
317,0.01165395978458188
318,0.0008377397680818989
319,0.009442367379256345
320,0.0028303421187515832
321,0.007101726390972675
322,0.0003369641811717793
323,0.0031021149203990877
324,0.0002345117526376932
325,1.806799866689019e-05
326,0.0004758096962080284
327,0.0005906987576064339
328,0.015733626317003358
329,0.012426598796433416
330,0.014465079790062662
331,0.00033004269419371413
332,0.005015387866043802
333,9.563990141827983e-05
334,0.022897983965101006
335,0.024728346722983043
336,0.008758791489818429
337,0.010500906791488566
338,0.0006920235086717939
339,0.0009731830336873535
340,0.0
341,0.0
342,0.00029277058958071414
343,0.0007609131750386458
344,0.08209255657977307
345,0.00020580646608103908
346,0.000550410309400685
347,0.0
348,3.769335651330101e-06
349,0.021162676404967492
350,0.00044237494588969366
351,0.0015256375887952262
352,0.001251147562262846
353,0.01611199953017781
354,0.010734969545206426
355,0.00539521867817423
356,0.003933548867421408
357,0.0017803337964930784
358,0.08001944658859919
359,0.0005218132057957804
360,0.0
361,0.021550431263562337
362,0.0
363,1.4342883856370902e-06
364,2.4761200455501353e-06
